$PMTK010,002*2D
$GNGGA,235943.094,,,,,0,0,,,M,,M,,*51
$GPGSA,A,1,,,,,,,,,,,,,,,*1E
$GLGSA,A,1,,,,,,,,,,,,,,,*02
$GNRMC,235943.094,V,,,,,0.00,0.00,050180,,,N*58
$GNVTG,0.00,T,,M,0.0$GNRMC,191514.500,A,4701.9463,N,00815.2662,E,3.77,39.96,121022,,,A*4E
$GNRMC,191515.000,A,4701.9467,N,$GNRMC,191520.000,A,4701.9508,N,00815.2712,E,3.65,33.62,121022,,,A*44
$GNRMC,191520.500,A,4701.9514,N,00815.2719,E,3.62,34.49,121022,,,A*4E
$GNRMC,191521.000,A,4701.9518,N,00815.2725,E,3.66,37.12,121022,,,A*40
$GNRMC,191521.500,A,4701.9522,N,00815.2730,E,3.60,43.08,121022,,,A*46
$GNRMC,191522.000,A,4701.9525,N,00815.2737,E,3.61,49.53,121022,,,A*45
$GNRMC,191522.500,A,4701.9526,N,00815.2740,E,3.62,52.04,121022,,,A*48
$GNRMC,191523.000,A,4701.9527,N,00815.2743,E,3.58,53.39,121022,,,A*48
$GNRMC,191523.500,A,4701.9529,N,00815.2746,E,3.54,48.68,121022,,,A*44
$GNRMC,191524.000,A,4701.9531,N,00815.2750,E,3.50,41.76,121022,,,A*4A
$GNRMC,191524.500,A,4701.9534,N,00815.2752,E,3.14,37.15,121022,,,A*4C
$GNRMC,191525.000,A,4701.9536,N,00815.2754,E,2.89,41.76,121022,,,A*4D
$GNRMC,191525.500,A,4701.9536,N,00815.2755,E,2.81,46.08,121022,,,A*4F
$GNRMC,191526.000,A,4701.9537,N,00815.2756,E,2.81,44.84,121022,,,A*4D
$GNRMC,191526.500,A,4701.9536,N,00815.2756,E,2.82,43.15,121022,,,A*45
$GNRMC,191527.000,A,4701.9534,N,00815.2754,E,2.76,45.07,121022,,,A*4F
$GNRMC,191527.500,A,4701.9534,N,00815.2755,E,2.71,42.10,121022,,,A*4D
$GNRMC,191528.000,A,4701.9533,N,00815.2754,E,2.69,46.86,121022,,,A*43
$GNRMC,191528.500,A,4701.9533,N,00815.2753,E,2.46,39.17,121022,,,A*4C
$GNRMC,191529.000,A,4701.9530,N,00815.2752,E,2.41,39.17,121022,,,A*4D
$GNRMC,191529.500,A,4701.9528,N,00815.2752,E,2.05,39.17,121022,,,A*41
$GNRMC,191530.000,A,4701.9527,N,00815.2752,E,1.74,39.17,121022,,,A*46
$GNRMC,191530.500,A,4701.9528,N,00815.2753,E,1.74,39.17,121022,,,A*4D
$GNRMC,191531.000,A,4701.9529,N,00815.2754,E,1.57,39.17,121022,,,A*4E
$GNRMC,191531.500,A,4701.9526,N,00815.2747,E,1.59,39.17,121022,,,A*48
$GNRMC,191532.000,A,4701.9527,N,00815.2748,E,1.97,39.17,121022,,,A*42
$GNRMC,191532.500,A,4701.9528,N,00815.2746,E,2.21,39.17,121022,,,A*48
$GNRMC,191533.000,A,4701.9530,N,00815.2744,E,2.42,39.17,121022,,,A*42
$GNRMC,191533.500,A,4701.9530,N,00815.2741,E,2.21,39.17,121022,,,A*47
$GNRMC,191534.000,A,4701.9529,N,00815.2739,E,2.16,39.17,121022,,,A*46
$GNRMC,191534.500,A,4701.9532,N,00815.2741,E,2.16,39.17,121022,,,A*46
$GNRMC,191535.000,A,4701.9533,N,00815.2741,E,2.08,39.17,121022,,,A*4C
$GNRMC,191535.500,A,4701.9533,N,00815.2741,E,1.91,39.17,121022,,,A*4A
$GNRMC,191536.000,A,4701.9534,N,00815.2744,E,1.94,39.17,121022,,,A*4B
$GNRMC,191536.500,A,4701.9535,N,00815.2746,E,2.11,39.17,121022,,,A*43
$GNRMC,191537.000,A,4701.9536,N,00815.2750,E,2.44,39.17,121022,,,A*43
$GNRMC,191537.500,A,4701.9536,N,00815.2752,E,2.65,39.17,121022,,,A*47
$GNRMC,191538.000,A,4701.9536,N,00815.2753,E,2.70,39.17,121022,,,A*48
$GNRMC,191538.500,A,4701.9536,N,00815.2753,E,2.70,39.17,121022,,,A*4D
$GNRMC,191539.000,A,4701.9536,N,00815.2755,E,2.64,39.17,121022,,,A*4A
$GNRMC,191539.500,A,4701.9537,N,00815.2755,E,2.24,39.17,121022,,,A*4A
$GNRMC,191540.000,A,4701.9535,N,00815.2754,E,2.04,39.17,121022,,,A*40
$GNRMC,191540.500,A,4701.9533,N,00815.2752,E,1.97,39.17,121022,,,A*4C
$GNRMC,191541.000,A,4701.9534,N,00815.2753,E,1.94,39.17,121022,,,A*4D
$GNRMC,191541.500,A,4701.9534,N,00815.2753,E,1.95,39.17,121022,,,A*49
$GNRMC,191542.000,A,4701.9531,N,00815.2751,E,1.94,39.17,121022,,,A*49
$GNRMC,191542.500,A,4701.9531,N,00815.2752,E,1.95,39.17,121022,,,A*4E
$GNRMC,191543.000,A,4701.9530,N,00815.2752,E,1.98,39.17,121022,,,A*46
$GNRMC,191543.500,A,4701.9530,N,00815.2754,E,2.25,39.17,121022,,,A*40
$GNRMC,191544.000,A,4701.9530,N,00815.2755,E,2.23,39.17,121022,,,A*45
$GNRMC,191544.500,A,4701.9530,N,00815.2755,E,2.19,39.17,121022,,,A*49
$GNRMC,191545.000,A,4701.9529,N,00815.2756,E,2.15,39.17,121022,,,A*4A
$GNRMC,191545.500,A,4701.9527,N,00815.2755,E,2.08,39.17,121022,,,A*4E
$GNRMC,191546.000,A,4701.9526,N,00815.2755,E,1.86,39.17,121022,,,A*4C
$GNRMC,191546.500,A,4701.9527,N,00815.2756,E,1.93,39.17,121022,,,A*4F
$GNRMC,191547.000,A,4701.9528,N,00815.2757,E,1.90,39.17,121022,,,A*46
$GNRMC,191547.500,A,4701.9529,N,00815.2759,E,1.69,39.17,121022,,,A*4A
$GNRMC,191548.000,A,4701.9529,N,00815.2760,E,1.47,39.17,121022,,,A*46
$GNRMC,191548.500,A,4701.9529,N,00815.2761,E,1.29,39.17,121022,,,A*4A
$GNRMC,191549.000,A,4701.9529,N,00815.2762,E,1.29,39.17,121022,,,A*4D
$GNRMC,191549.500,A,4701.9530,N,00815.2765,E,1.55,39.17,121022,,,A*4C
$GNRMC,191550.000,A,4701.9530,N,00815.2767,E,1.72,39.17,121022,,,A*46
$GNRMC,191550.500,A,4701.9532,N,00815.2770,E,1.72,39.17,121022,,,A*47
$GNRMC,191551.000,A,4701.9533,N,00815.2773,E,1.76,39.17,121022,,,A*45
$GNRMC,191551.500,A,4701.9534,N,00815.2776,E,1.74,39.17,121022,,,A*40
$GNRMC,191552.000,A,4701.9535,N,00815.2779,E,1.68,39.17,121022,,,A*45
$GNRMC,191552.500,A,4701.9535,N,00815.2781,E,1.41,39.17,121022,,,A*4C
$GNRMC,191553.000,A,4701.9537,N,00815.2784,E,1.41,39.17,121022,,,A*4F
$GNRMC,191553.500,A,4701.9537,N,00815.2785,E,1.35,39.17,121022,,,A*48
$GNRMC,191554.000,A,4701.9536,N,00815.2786,E,1.21,39.17,121022,,,A*4D
$GNRMC,191554.500,A,4701.9536,N,00815.2788,E,1.30,39.17,121022,,,A*46
$GNRMC,191555.000,A,4701.9536,N,00815.2790,E,1.30,39.17,121022,,,A*4B
$GNRMC,191555.500,A,4701.9536,N,00815.2792,E,1.56,39.17,121022,,,A*4C
$GNRMC,191556.000,A,4701.9538,N,00815.2795,E,1.62,39.03,121022,,,A*41
$GNRMC,191556.500,A,4701.9538,N,00815.2798,E,1.62,43.70,121022,,,A*40
$GNRMC,191557.000,A,4701.9539,N,00815.2800,E,1.46,40.20,121022,,,A*4B
$GNRMC,191557.500,A,4701.9540,N,00815.2801,E,1.44,39.99,121022,,,A*4F
$GNRMC,191558.000,A,4701.9541,N,00815.2802,E,1.45,28.70,121022,,,A*41
$GNRMC,191558.500,A,4701.9541,N,00815.2803,E,1.28,33.30,121022,,,A*40
$GNRMC,191559.000,A,4701.9540,N,00815.2804,E,1.28,48.17,121022,,,A*4B
$GNRMC,191559.500,A,4701.9539,N,00815.2805,E,1.32,57.88,121022,,,A*42
$GNRMC,191600.000,A,4701.9537,N,00815.2805,E,1.34,68.47,121022,,,A*4F
$GNRMC,191600.500,A,4701.9537,N,00815.2806,E,1.38,58.95,121022,,,A*49
$GNRMC,191601.000,A,4701.9537,N,00815.2808,E,1.36,60.35,121022,,,A*4C
$GNRMC,191601.500,A,4701.9537,N,00815.2810,E,1.34,59.34,121022,,,A*49
$GNRMC,191602.000,A,4701.9537,N,00815.2811,E,1.44,37.12,121022,,,A*45
$GNRMC,191602.500,A,4701.9537,N,00815.2811,E,1.44,33.96,121022,,,A*48
$GNRMC,191603.000,A,4701.9537,N,00815.2810,E,1.32,35.17,121022,,,A*43
$GNRMC,191603.500,A,4701.9539,N,00815.2812,E,1.37,45.28,121022,,,A*44
$GNRMC,191604.000,A,4701.9539,N,00815.2813,E,1.15,39.28,121022,,,A*4C
$GNRMC,191604.500,A,4701.9540,N,00815.2814,E,1.15,41.94,121022,,,A*48
$GNRMC,191605.000,A,4701.9541,N,00815.2815,E,0.94,46.14,121022,,,A*4B
$GNRMC,191605.500,A,4701.9542,N,00815.2817,E,0.99,47.59,121022,,,A*4A
$GNRMC,191606.000,A,4701.9543,N,00815.2818,E,1.00,51.39,121022,,,A*42
$GNRMC,191606.500,A,4701.9543,N,00815.2820,E,1.01,53.43,121022,,,A*42
$GNRMC,191607.000,A,4701.9544,N,00815.2822,E,0.98,54.35,121022,,,A*44
$GNRMC,191607.500,A,4701.9544,N,00815.2823,E,0.93,56.88,121022,,,A*4F
$GNRMC,191608.000,A,4701.9545,N,00815.2825,E,0.92,57.01,121022,,,A*43
$GNRMC,191608.500,A,4701.9545,N,00815.2826,E,0.91,58.35,121022,,,A*4E
$GNRMC,191609.000,A,4701.9546,N,00815.2828,E,0.94,61.71,121022,,,A*48
$GNRMC,191609.500,A,4701.9547,N,00815.2829,E,0.93,58.32,121022,,,A*47
$GNRMC,191610.000,A,4701.9548,N,00815.2830,E,0.93,55.76,121022,,,A*40
$GNRMC,191610.500,A,4701.9548,N,00815.2831,E,0.96,50.01,121022,,,A*44
$GNRMC,191611.000,A,4701.9548,N,00815.2834,E,0.99,61.63,121022,,,A*4C
$GNRMC,191611.500,A,4701.9548,N,00815.2835,E,0.98,67.68,121022,,,A*44
$GNRMC,191612.000,A,4701.9548,N,00815.2836,E,0.93,65.69,121022,,,A*49
$GNRMC,191612.500,A,4701.9548,N,00815.2837,E,0.92,64.92,121022,,,A*49
$GNRMC,191613.000,A,4701.9546,N,00815.2839,E,0.90,80.43,121022,,,A*49
$GNRMC,191613.500,A,4701.9546,N,00815.2842,E,1.06,85.05,121022,,,A*49
$GNRMC,191614.000,A,4701.9546,N,00815.2843,E,1.02,79.61,121022,,,A*4F
$GNRMC,191614.500,A,4701.9547,N,00815.2844,E,0.96,55.76,121022,,,A*48
$GNRMC,191615.000,A,4701.9548,N,00815.2846,E,1.13,61.41,121022,,,A*4E
$GNRMC,191615.500,A,4701.9548,N,00815.2849,E,1.19,60.67,121022,,,A*4B
$GNRMC,191616.000,A,4701.9549,N,00815.2851,E,1.18,59.97,121022,,,A*41
$GNRMC,191616.500,A,4701.9550,N,00815.2852,E,1.22,42.65,121022,,,A*41
$GNRMC,191617.000,A,4701.9550,N,00815.2853,E,1.10,39.70,121022,,,A*4D
$GNRMC,191617.500,A,4701.9551,N,00815.2854,E,1.01,24.65,121022,,,A*46
$GNRMC,191618.000,A,4701.9552,N,00815.2855,E,0.90,36.62,121022,,,A*43
$GNRMC,191618.500,A,4701.9553,N,00815.2855,E,1.01,29.06,121022,,,A*42
$GNRMC,191619.000,A,4701.9553,N,00815.2857,E,1.12,57.55,121022,,,A*49
$GNRMC,191619.500,A,4701.9554,N,00815.2859,E,1.08,56.54,121022,,,A*4E
$GNRMC,191620.000,A,4701.9554,N,00815.2860,E,0.92,65.70,121022,,,A*4F
$GNRMC,191620.500,A,4701.9554,N,00815.2860,E,0.66,63.66,121022,,,A*40
$GNRMC,191621.000,A,4701.9554,N,00815.2861,E,0.67,41.45,121022,,,A*45
$GNRMC,191621.500,A,4701.9555,N,00815.2862,E,0.88,43.97,121022,,,A*4E
$GNRMC,191622.000,A,4701.9556,N,00815.2863,E,0.80,57.63,121022,,,A*4C
$GNRMC,191622.500,A,4701.9555,N,00815.2863,E,0.68,77.14,121022,,,A*4E
$GNRMC,191623.000,A,4701.9556,N,00815.2863,E,0.57,77.14,121022,,,A*45
$GNRMC,191623.500,A,4701.9557,N,00815.2862,E,0.67,15.83,121022,,,A*49
$GNRMC,191624.000,A,4701.9558,N,00815.2861,E,0.74,9.72,121022,,,A*76
$GNRMC,191624.500,A,4701.9558,N,00815.2862,E,0.65,27.73,121022,,,A*4D
$GNRMC,191625.000,A,4701.9559,N,00815.2863,E,0.65,47.75,121022,,,A*49
$GNRMC,191625.500,A,4701.9561,N,00815.2865,E,0.99,45.30,121022,,,A*41
$GNRMC,191626.000,A,4701.9562,N,00815.2866,E,1.14,40.35,121022,,,A*43
$GNRMC,191626.500,A,4701.9562,N,00815.2867,E,1.05,56.19,121022,,,A*4E
$GNRMC,191627.000,A,4701.9563,N,00815.2867,E,0.88,48.83,121022,,,A*43
$GNRMC,191627.500,A,4701.9565,N,00815.2868,E,0.95,45.65,121022,,,A*46
$GNRMC,191628.000,A,4701.9566,N,00815.2868,E,0.98,47.51,121022,,,A*47
$GNRMC,191628.500,A,4701.9566,N,00815.2870,E,1.16,62.42,121022,,,A*49
$GNRMC,191629.000,A,4701.9567,N,00815.2871,E,1.19,65.68,121022,,,A*4D
$GNRMC,191629.500,A,4701.9567,N,00815.2872,E,1.17,63.24,121022,,,A*4B
$GNRMC,191630.000,A,4701.9568,N,00815.2873,E,1.18,58.48,121022,,,A*45
$GNRMC,191630.500,A,4701.9569,N,00815.2873,E,1.15,62.15,121022,,,A*4D
$GNRMC,191631.000,A,4701.9568,N,00815.2870,E,0.88,50.71,121022,,,A*4D
$GNRMC,191631.500,A,4701.9568,N,00815.2869,E,0.93,37.80,121022,,,A*45
$GNRMC,191632.000,A,4701.9567,N,00815.2867,E,0.89,48.93,121022,,,A*43
$GNRMC,191632.500,A,4701.9568,N,00815.2865,E,0.72,24.62,121022,,,A*4B
$GNRMC,191633.000,A,4701.9568,N,00815.2864,E,0.54,24.62,121022,,,A*4A
$GNRMC,191633.500,A,4701.9567,N,00815.2862,E,0.25,24.62,121022,,,A*40
$GNRMC,191634.000,A,4701.9568,N,00815.2862,E,0.50,24.62,121022,,,A*4F
$GNRMC,191634.500,A,4701.9568,N,00815.2863,E,0.82,52.15,121022,,,A*45
$GNRMC,191635.000,A,4701.9569,N,00815.2864,E,0.87,59.06,121022,,,A*4B
$GNRMC,191635.500,A,4701.9570,N,00815.2864,E,0.87,48.30,121022,,,A*43
$GNRMC,191636.000,A,4701.9571,N,00815.2865,E,0.86,38.21,121022,,,A*43
$GNRMC,191636.500,A,4701.9570,N,00815.2864,E,0.80,46.61,121022,,,A*4D
$GNRMC,191637.000,A,4701.9570,N,00815.2864,E,0.96,61.33,121022,,,A*4C
$GNRMC,191637.500,A,4701.9571,N,00815.2865,E,1.16,60.58,121022,,,A*4C
$GNRMC,191638.000,A,4701.9571,N,00815.2866,E,1.32,63.60,121022,,,A*4B
$GNRMC,191638.500,A,4701.9571,N,00815.2867,E,1.38,72.88,121022,,,A*43
$GNRMC,191639.000,A,4701.9570,N,00815.2867,E,1.29,74.81,121022,,,A*49
$GNRMC,191639.500,A,4701.9570,N,00815.2865,E,1.02,67.98,121022,,,A*4D
