Loopcount;Interval;Roll;Pitch;Time;Date;Fix;Latitude;Longitude;Speed
1;119475;0.1013527;0.05361146;13:27:02.20;15/10/22;True;4706.6614;00826.8678;0.05556
2;199;0.7323018;0.4768029;13:27:02.40;15/10/22;True;4706.6614;00826.8678;0.03704
3;199;0.960581;0.4450366;13:27:02.60;15/10/22;True;4706.6614;00826.8677;0.01852
4;202;0.7951887;0.4305828;13:27:02.80;15/10/22;True;4706.6614;00826.8677;0.01852
5;201;0.5780599;0.3544078;13:27:03.00;15/10/22;True;4706.6614;00826.8677;0.01852
6;200;0.5185058;0.191803;13:27:03.20;15/10/22;True;4706.6614;00826.8677;0.01852
7;200;0.4365188;0.07410994;13:27:03.40;15/10/22;True;4706.6614;00826.8677;0.01852
8;202;0.3468858;0.04012761;13:27:03.60;15/10/22;True;4706.6615;00826.8677;0.0
9;198;-0.5009494;0.2167037;13:27:03.80;15/10/22;True;4706.6615;00826.8677;0.01852
10;200;-0.4626205;0.2416506;13:27:04.00;15/10/22;True;4706.6615;00826.8676;0.0
11;200;-0.4708645;0.2170239;13:27:04.20;15/10/22;True;4706.6615;00826.8676;0.01852
12;199;-0.2426785;0.04422611;13:27:04.40;15/10/22;True;4706.6615;00826.8676;0.0
13;201;0.06718445;-0.08586527;13:27:04.60;15/10/22;True;4706.6615;00826.8676;0.01852
14;198;0.244253;-0.2420914;13:27:04.80;15/10/22;True;4706.6615;00826.8676;0.01852
15;200;0.09661502;-0.07184427;13:27:05.00;15/10/22;True;4706.6615;00826.8676;0.01852
16;201;-0.07924243;-0.1953294;13:27:05.20;15/10/22;True;4706.6615;00826.8676;0.0
17;200;-0.1254467;-0.1688684;13:27:05.40;15/10/22;True;4706.6615;00826.8676;0.01852
18;200;-0.2340284;-0.2175321;13:27:05.60;15/10/22;True;4706.6615;00826.8675;0.0
19;200;0.1332827;-0.329537;13:27:05.80;15/10/22;True;4706.6615;00826.8675;0.01852
20;200;0.3638074;-0.4321342;13:27:06.00;15/10/22;True;4706.6615;00826.8675;0.0
21;203;0.6074822;-0.3013858;13:27:06.20;15/10/22;True;4706.6615;00826.8675;0.01852
22;199;0.7864963;-0.4432695;13:27:06.40;15/10/22;True;4706.6614;00826.8675;0.0
23;199;0.3602624;-0.3432498;13:27:06.60;15/10/22;True;4706.6614;00826.8675;0.0
24;202;0.3885143;-0.4702025;13:27:06.80;15/10/22;True;4706.6614;00826.8675;0.01852
25;197;0.5638266;-0.5062604;13:27:07.00;15/10/22;True;4706.6614;00826.8675;0.0
26;203;0.6659377;-0.6015613;13:27:07.20;15/10/22;True;4706.6614;00826.8675;0.0
27;198;0.4226268;-0.7320903;13:27:07.40;15/10/22;True;4706.6614;00826.8675;0.01852
28;202;0.3049652;-0.6917831;13:27:07.60;15/10/22;True;4706.6614;00826.8675;0.01852
29;200;0.4720572;-0.6755513;13:27:07.80;15/10/22;True;4706.6614;00826.8675;0.0
30;198;0.2048979;-0.5513783;13:27:08.00;15/10/22;True;4706.6614;00826.8675;0.0
31;201;0.2440666;-0.6848641;13:27:08.20;15/10/22;True;4706.6614;00826.8675;0.0
32;199;0.1515195;-0.6471918;13:27:08.40;15/10/22;True;4706.6614;00826.8675;0.01852
33;199;0.09874847;-0.7117416;13:27:08.60;15/10/22;True;4706.6614;00826.8674;0.01852
34;199;0.1007593;-0.7986747;13:27:08.80;15/10/22;True;4706.6614;00826.8674;0.01852
35;203;0.2876441;-0.8127645;13:27:09.00;15/10/22;True;4706.6614;00826.8674;0.01852
36;200;0.4094621;-1.003767;13:27:09.20;15/10/22;True;4706.6614;00826.8674;0.0
37;200;0.3649883;-0.9898454;13:27:09.40;15/10/22;True;4706.6614;00826.8674;0.0
38;199;0.5986512;-1.098956;13:27:09.60;15/10/22;True;4706.6614;00826.8674;0.01852
39;202;1.069686;-0.8463195;13:27:09.80;15/10/22;True;4706.6614;00826.8674;0.0
40;199;2.46134;-0.7775041;13:27:10.00;15/10/22;True;4706.6614;00826.8674;0.05556
41;201;4.051759;-1.127213;13:27:10.20;15/10/22;True;4706.6614;00826.8674;0.03704
42;199;4.884293;-1.306881;13:27:10.40;15/10/22;True;4706.6614;00826.8674;0.05556
43;199;6.154779;-1.036924;13:27:10.60;15/10/22;True;4706.6614;00826.8673;0.05556
44;201;6.46036;-1.243873;13:27:10.80;15/10/22;True;4706.6614;00826.8673;0.05556
45;203;5.419187;-2.219771;13:27:11.00;15/10/22;True;4706.6614;00826.8673;0.03704
46;200;5.00354;-1.529475;13:27:11.20;15/10/22;True;4706.6614;00826.8673;0.01852
47;197;4.056761;-1.377952;13:27:11.40;15/10/22;True;4706.6614;00826.8673;0.03704
48;200;4.266172;-1.692237;13:27:11.60;15/10/22;True;4706.6614;00826.8673;0.01852
49;199;3.959023;-1.50589;13:27:11.80;15/10/22;True;4706.6614;00826.8673;0.01852
50;204;4.304542;-1.637053;13:27:12.00;15/10/22;True;4706.6614;00826.8673;0.01852
51;199;4.414203;-1.889762;13:27:12.20;15/10/22;True;4706.6614;00826.8673;0.0
52;197;4.48503;-1.449833;13:27:12.40;15/10/22;True;4706.6614;00826.8673;0.01852
53;200;4.736121;-1.485569;13:27:12.60;15/10/22;True;4706.6614;00826.8672;0.0
54;202;5.222612;-1.832681;13:27:12.80;15/10/22;True;4706.6614;00826.8672;0.01852
55;201;5.366582;-1.850612;13:27:13.00;15/10/22;True;4706.6614;00826.8672;0.03704
56;198;5.152007;-1.809823;13:27:13.20;15/10/22;True;4706.6614;00826.8672;0.01852
57;199;4.849919;-1.702073;13:27:13.40;15/10/22;True;4706.6614;00826.8672;0.01852
58;201;4.415649;-1.33686;13:27:13.60;15/10/22;True;4706.6614;00826.8672;0.01852
59;201;4.062741;-1.293348;13:27:13.80;15/10/22;True;4706.6614;00826.8672;0.01852
60;197;4.284223;-1.547471;13:27:14.00;15/10/22;True;4706.6614;00826.8672;0.01852
61;202;4.24593;-1.420877;13:27:14.20;15/10/22;True;4706.6614;00826.8671;0.01852
62;199;4.175443;-1.434774;13:27:14.40;15/10/22;True;4706.6614;00826.8671;0.01852
63;199;4.243816;-1.391747;13:27:14.60;15/10/22;True;4706.6614;00826.8671;0.01852
64;200;4.003072;-1.121202;13:27:14.80;15/10/22;True;4706.6614;00826.8671;0.0
65;200;3.868573;-1.076078;13:27:15.00;15/10/22;True;4706.6614;00826.8671;0.0
66;202;4.241984;-1.192881;13:27:15.20;15/10/22;True;4706.6614;00826.8671;0.01852
67;200;4.107775;-1.01462;13:27:15.40;15/10/22;True;4706.6614;00826.8671;0.01852
68;201;4.314637;-0.7045592;13:27:15.60;15/10/22;True;4706.6614;00826.8671;0.01852
69;198;4.728375;-0.9453522;13:27:15.80;15/10/22;True;4706.6614;00826.8671;0.0
