Loopcount;Interval;Roll;Pitch;Time;Date;Fix;Latitude;Longitude;Speed
1;17397;1.859208;-5.938995;12:16:19.60;15/10/22;True;4657.7293;00829.0401;0.48152
2;201;1.673455;-5.781871;12:16:19.80;15/10/22;True;4657.7293;00829.0402;0.51856
3;201;1.585515;-5.724115;12:16:20.00;15/10/22;True;4657.7293;00829.0402;0.51856
4;197;1.527516;-5.83334;12:16:20.20;15/10/22;True;4657.7293;00829.0403;0.51856
5;201;1.470331;-5.883669;12:16:20.40;15/10/22;True;4657.7293;00829.0403;0.50004
6;199;1.575208;-6.029929;12:16:20.60;15/10/22;True;4657.7293;00829.0403;0.40744
7;201;1.637993;-6.058119;12:16:20.80;15/10/22;True;4657.7293;00829.0403;0.3704
8;216;1.595033;-5.928124;12:16:21.00;15/10/22;True;4657.7293;00829.0403;0.29632
9;182;1.713152;-6.030658;12:16:21.20;15/10/22;True;4657.7293;00829.0403;0.25928
10;202;1.629578;-6.048125;12:16:21.40;15/10/22;True;4657.7293;00829.0403;0.22224
11;200;1.746048;-6.056704;12:16:21.60;15/10/22;True;4657.7292;00829.0403;0.1852
12;201;1.738867;-6.030178;12:16:21.80;15/10/22;True;4657.7292;00829.0403;0.16668
13;199;1.797423;-6.039726;12:16:22.00;15/10/22;True;4657.7292;00829.0403;0.14816
14;200;1.586844;-5.929068;12:16:22.20;15/10/22;True;4657.7292;00829.0403;0.12964
15;202;1.599666;-5.794875;12:16:22.40;15/10/22;True;4657.7293;00829.0403;0.12964
16;197;1.418662;-5.6954;12:16:22.60;15/10/22;True;4657.7293;00829.0403;0.1852
17;200;1.400813;-5.563366;12:16:22.80;15/10/22;True;4657.7293;00829.0404;0.25928
18;203;1.413714;-5.707602;12:16:23.00;15/10/22;True;4657.7294;00829.0404;0.33336
19;198;1.286938;-5.668432;12:16:23.20;15/10/22;True;4657.7294;00829.0404;0.38892
20;201;1.134704;-5.637409;12:16:23.40;15/10/22;True;4657.7294;00829.0405;0.42596
21;198;1.086122;-5.564041;12:16:23.60;15/10/22;True;4657.7294;00829.0405;0.48152
22;202;1.242;-5.544335;12:16:23.80;15/10/22;True;4657.7295;00829.0406;0.53708
23;202;1.134726;-5.563159;12:16:24.00;15/10/22;True;4657.7295;00829.0406;0.59264
24;198;0.8238369;-5.696534;12:16:24.20;15/10/22;True;4657.7295;00829.0406;0.57412
25;199;0.9018327;-5.765095;12:16:24.40;15/10/22;True;4657.7295;00829.0406;0.57412
26;199;1.24927;-5.939711;12:16:24.60;15/10/22;True;4657.7295;00829.0406;0.51856
27;200;1.564498;-5.902268;12:16:24.80;15/10/22;True;4657.7295;00829.0406;0.48152
28;202;-0.5166056;-5.897495;12:16:25.00;15/10/22;True;4657.7295;00829.0407;0.44448
29;201;-0.7136716;-5.782616;12:16:25.20;15/10/22;True;4657.7295;00829.0407;0.40744
30;200;-0.9870663;-5.968944;12:16:25.40;15/10/22;True;4657.7295;00829.0407;0.3704
31;198;-0.9028748;-6.170838;12:16:25.60;15/10/22;True;4657.7295;00829.0407;0.31484
32;201;-0.6848805;-6.092696;12:16:25.80;15/10/22;True;4657.7295;00829.0407;0.2778
33;199;-0.2448855;-6.393437;12:16:26.00;15/10/22;True;4657.7295;00829.0407;0.22224
34;198;0.003063399;-6.467664;12:16:26.20;15/10/22;True;4657.7294;00829.0406;0.16668
35;201;0.4318413;-6.683799;12:16:26.40;15/10/22;True;4657.7294;00829.0406;0.16668
36;200;0.5304723;-6.500064;12:16:26.60;15/10/22;True;4657.7294;00829.0406;0.16668
37;198;0.5234974;-6.583171;12:16:26.80;15/10/22;True;4657.7295;00829.0406;0.20372
38;203;0.3361842;-6.335583;12:16:27.00;15/10/22;True;4657.7295;00829.0406;0.1852
39;200;0.4970851;-6.33213;12:16:27.20;15/10/22;True;4657.7295;00829.0406;0.20372
40;199;0.5795537;-6.250602;12:16:27.40;15/10/22;True;4657.7295;00829.0406;0.22224
41;201;0.777417;-6.1704;12:16:27.60;15/10/22;True;4657.7295;00829.0406;0.24076
42;200;1.192623;-6.159667;12:16:27.80;15/10/22;True;4657.7295;00829.0406;0.25928
43;200;1.363859;-6.063481;12:16:28.00;15/10/22;True;4657.7295;00829.0406;0.25928
44;199;1.571057;-5.961703;12:16:28.20;15/10/22;True;4657.7295;00829.0406;0.2778
45;200;1.605576;-6.052345;12:16:28.40;15/10/22;True;4657.7295;00829.0406;0.25928
46;200;1.734867;-6.064248;12:16:28.60;15/10/22;True;4657.7295;00829.0406;0.22224
47;199;1.676432;-6.023808;12:16:28.80;15/10/22;True;4657.7295;00829.0406;0.20372
48;200;1.60493;-6.020789;12:16:29.00;15/10/22;True;4657.7294;00829.0406;0.16668
49;203;1.601015;-5.893722;12:16:29.20;15/10/22;True;4657.7294;00829.0406;0.1852
50;198;1.567258;-5.786367;12:16:29.40;15/10/22;True;4657.7294;00829.0406;0.20372
